Country,Country_code,Who_region,Wb_income,Year,Month,Agegroup,Deaths
Zimbabwe,ZWE,AFR,LMC,2025,1,0_4,
Netherlands Antilles,ANT,AMR,,2025,1,5_14,
Netherlands Antilles,ANT,AMR,,2025,2,15_64,
Netherlands Antilles,ANT,AMR,,2025,2,5_14,
Netherlands Antilles,ANT,AMR,,2025,3,15_64,
Netherlands Antilles,ANT,AMR,,2025,3,5_14,
Netherlands Antilles,ANT,AMR,,2025,1,65+,
New Caledonia,NCL,WPR,HIC,2025,2,0_4,
Netherlands Antilles,ANT,AMR,,2025,1,15_64,
New Caledonia,NCL,WPR,HIC,2025,2,15_64,
New Caledonia,NCL,WPR,HIC,2025,3,15_64,
New Caledonia,NCL,WPR,HIC,2025,1,5_14,
Bermuda,BMU,AMR,HIC,2025,3,65+,
Bermuda,BMU,AMR,HIC,2025,3,5_14,
Bermuda,BMU,AMR,HIC,2025,2,65+,
Bermuda,BMU,AMR,HIC,2025,2,5_14,
Bermuda,BMU,AMR,HIC,2025,1,65+,
New Caledonia,NCL,WPR,HIC,2025,1,15_64,
Bermuda,BMU,AMR,HIC,2025,1,5_14,
Netherlands Antilles,ANT,AMR,,2025,3,65+,
Netherlands Antilles,ANT,AMR,,2025,2,65+,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,2,0_4,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,3,0_4,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,1,15_64,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,2,15_64,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,3,15_64,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,1,5_14,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,2,5_14,
Netherlands Antilles,ANT,AMR,,2025,3,0_4,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,3,5_14,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,2,65+,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,3,65+,
Bermuda,BMU,AMR,HIC,2025,3,0_4,
Bermuda,BMU,AMR,HIC,2025,2,0_4,
Bermuda,BMU,AMR,HIC,2025,1,0_4,
Netherlands Antilles,ANT,AMR,,2025,1,0_4,
Netherlands Antilles,ANT,AMR,,2025,2,0_4,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,1,65+,
New Caledonia,NCL,WPR,HIC,2025,1,65+,
New Caledonia,NCL,WPR,HIC,2025,2,5_14,
New Caledonia,NCL,WPR,HIC,2025,2,65+,
Bermuda,BMU,AMR,HIC,2025,3,15_64,
Bermuda,BMU,AMR,HIC,2025,2,15_64,
Bermuda,BMU,AMR,HIC,2025,1,15_64,
Nicaragua,NIC,AMR,LMC,2025,3,65+,
Nicaragua,NIC,AMR,LMC,2025,1,5_14,
Nicaragua,NIC,AMR,LMC,2025,2,5_14,
Nicaragua,NIC,AMR,LMC,2025,3,5_14,
Nicaragua,NIC,AMR,LMC,2025,2,65+,
Nicaragua,NIC,AMR,LMC,2025,1,15_64,
Nicaragua,NIC,AMR,LMC,2025,3,15_64,
Niger,NER,AFR,LIC,2025,1,65+,
Niger,NER,AFR,LIC,2025,2,65+,
Niger,NER,AFR,LIC,2025,3,65+,
Niger,NER,AFR,LIC,2025,1,5_14,
Niger,NER,AFR,LIC,2025,2,5_14,
Niger,NER,AFR,LIC,2025,3,5_14,
Nicaragua,NIC,AMR,LMC,2025,2,15_64,
Nicaragua,NIC,AMR,LMC,2025,1,65+,
Nicaragua,NIC,AMR,LMC,2025,3,0_4,
Nicaragua,NIC,AMR,LMC,2025,2,0_4,
New Caledonia,NCL,WPR,HIC,2025,3,5_14,
New Caledonia,NCL,WPR,HIC,2025,3,65+,
New Caledonia,NCL,WPR,HIC,2025,1,0_4,
New Caledonia,NCL,WPR,HIC,2025,3,0_4,
New Zealand,NZL,WPR,HIC,2025,1,15_64,
New Zealand,NZL,WPR,HIC,2025,2,15_64,
New Zealand,NZL,WPR,HIC,2025,3,15_64,
New Zealand,NZL,WPR,HIC,2025,1,5_14,
New Zealand,NZL,WPR,HIC,2025,2,5_14,
New Zealand,NZL,WPR,HIC,2025,3,5_14,
New Zealand,NZL,WPR,HIC,2025,1,65+,
New Zealand,NZL,WPR,HIC,2025,2,65+,
New Zealand,NZL,WPR,HIC,2025,3,65+,
New Zealand,NZL,WPR,HIC,2025,1,0_4,
New Zealand,NZL,WPR,HIC,2025,2,0_4,
New Zealand,NZL,WPR,HIC,2025,3,0_4,
Nicaragua,NIC,AMR,LMC,2025,1,0_4,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,1,0_4,
Niger,NER,AFR,LIC,2025,1,0_4,
Bhutan,BTN,SEAR,LMC,2025,1,5_14,
Bhutan,BTN,SEAR,LMC,2025,2,5_14,
Myanmar,MMR,SEAR,LMC,2025,3,0_4,
Myanmar,MMR,SEAR,LMC,2025,1,5_14,
Myanmar,MMR,SEAR,LMC,2025,2,5_14,
Myanmar,MMR,SEAR,LMC,2025,3,5_14,
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,2,65+,0
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,2,5_14,0
Myanmar,MMR,SEAR,LMC,2025,1,65+,
Myanmar,MMR,SEAR,LMC,2025,2,0_4,
Myanmar,MMR,SEAR,LMC,2025,2,65+,
Myanmar,MMR,SEAR,LMC,2025,1,15_64,
Myanmar,MMR,SEAR,LMC,2025,2,15_64,
Myanmar,MMR,SEAR,LMC,2025,3,15_64,
Namibia,NAM,AFR,UMC,2025,1,65+,
Namibia,NAM,AFR,UMC,2025,2,65+,
Namibia,NAM,AFR,UMC,2025,3,65+,
Namibia,NAM,AFR,UMC,2025,1,15_64,
Myanmar,MMR,SEAR,LMC,2025,3,65+,
Namibia,NAM,AFR,UMC,2025,2,15_64,
Myanmar,MMR,SEAR,LMC,2025,1,0_4,
Mozambique,MOZ,AFR,LIC,2025,3,0_4,
Morocco,MAR,EMR,LMC,2025,2,65+,
Morocco,MAR,EMR,LMC,2025,3,65+,
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,3,15_64,0
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,1,15_64,1
Mozambique,MOZ,AFR,LIC,2025,2,0_4,
Mozambique,MOZ,AFR,LIC,2025,1,15_64,
Mozambique,MOZ,AFR,LIC,2025,3,15_64,
Mozambique,MOZ,AFR,LIC,2025,3,5_14,
Mozambique,MOZ,AFR,LIC,2025,1,65+,
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,1,0_4,0
Mozambique,MOZ,AFR,LIC,2025,2,65+,
Mozambique,MOZ,AFR,LIC,2025,3,65+,
Mozambique,MOZ,AFR,LIC,2025,1,0_4,
Mozambique,MOZ,AFR,LIC,2025,1,5_14,
Mozambique,MOZ,AFR,LIC,2025,2,15_64,
Mozambique,MOZ,AFR,LIC,2025,2,5_14,
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,1,65+,0
Namibia,NAM,AFR,UMC,2025,3,15_64,
Namibia,NAM,AFR,UMC,2025,1,0_4,
Namibia,NAM,AFR,UMC,2025,1,5_14,
Nauru,NRU,WPR,HIC,2025,3,0_4,
Nepal,NPL,SEAR,LMC,2025,1,0_4,
Nepal,NPL,SEAR,LMC,2025,2,0_4,
Nepal,NPL,SEAR,LMC,2025,2,65+,
Nepal,NPL,SEAR,LMC,2025,3,0_4,
Nepal,NPL,SEAR,LMC,2025,3,65+,
Nepal,NPL,SEAR,LMC,2025,1,65+,
Nauru,NRU,WPR,HIC,2025,2,0_4,
Nepal,NPL,SEAR,LMC,2025,2,5_14,
Nepal,NPL,SEAR,LMC,2025,1,15_64,
Nepal,NPL,SEAR,LMC,2025,1,5_14,
Nepal,NPL,SEAR,LMC,2025,2,15_64,
Nepal,NPL,SEAR,LMC,2025,3,15_64,
Bhutan,BTN,SEAR,LMC,2025,3,65+,
Bhutan,BTN,SEAR,LMC,2025,3,5_14,
Bhutan,BTN,SEAR,LMC,2025,2,65+,
Nepal,NPL,SEAR,LMC,2025,3,5_14,
Nauru,NRU,WPR,HIC,2025,1,0_4,
Nauru,NRU,WPR,HIC,2025,3,15_64,
Nauru,NRU,WPR,HIC,2025,2,15_64,
Namibia,NAM,AFR,UMC,2025,2,0_4,
Namibia,NAM,AFR,UMC,2025,2,5_14,
Namibia,NAM,AFR,UMC,2025,3,0_4,
Namibia,NAM,AFR,UMC,2025,3,5_14,
Bhutan,BTN,SEAR,LMC,2025,3,0_4,
Bhutan,BTN,SEAR,LMC,2025,2,0_4,
Nauru,NRU,WPR,HIC,2025,1,5_14,
Nauru,NRU,WPR,HIC,2025,1,65+,
Nauru,NRU,WPR,HIC,2025,2,5_14,
Nauru,NRU,WPR,HIC,2025,2,65+,
Nauru,NRU,WPR,HIC,2025,3,5_14,
Nauru,NRU,WPR,HIC,2025,3,65+,
Bhutan,BTN,SEAR,LMC,2025,3,15_64,
Bhutan,BTN,SEAR,LMC,2025,2,15_64,
Bhutan,BTN,SEAR,LMC,2025,1,15_64,
Bhutan,BTN,SEAR,LMC,2025,1,0_4,
Nauru,NRU,WPR,HIC,2025,1,15_64,
Bhutan,BTN,SEAR,LMC,2025,1,65+,
Morocco,MAR,EMR,LMC,2025,1,65+,
Niger,NER,AFR,LIC,2025,2,0_4,
Niger,NER,AFR,LIC,2025,1,15_64,
Belize,BLZ,AMR,UMC,2025,3,15_64,
Belize,BLZ,AMR,UMC,2025,2,15_64,
Belize,BLZ,AMR,UMC,2025,1,15_64,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,1,15_64,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,2,15_64,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,3,15_64,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,1,0_4,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,3,5_14,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,2,0_4,
Oman,OMN,EMR,HIC,2025,1,15_64,
Oman,OMN,EMR,HIC,2025,2,15_64,
Oman,OMN,EMR,HIC,2025,3,15_64,
Oman,OMN,EMR,HIC,2025,1,0_4,
Oman,OMN,EMR,HIC,2025,1,5_14,
Oman,OMN,EMR,HIC,2025,2,0_4,
Oman,OMN,EMR,HIC,2025,2,5_14,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,3,0_4,
Oman,OMN,EMR,HIC,2025,3,0_4,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,2,5_14,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,3,65+,
Northern Mariana Islands,MNP,WPR,HIC,2025,2,15_64,
Northern Mariana Islands,MNP,WPR,HIC,2025,3,15_64,
Norway,NOR,EUR,HIC,2025,1,5_14,
Norway,NOR,EUR,HIC,2025,2,5_14,
Norway,NOR,EUR,HIC,2025,3,5_14,
Norway,NOR,EUR,HIC,2025,1,0_4,
Norway,NOR,EUR,HIC,2025,3,0_4,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,1,5_14,
Norway,NOR,EUR,HIC,2025,1,15_64,
Norway,NOR,EUR,HIC,2025,2,15_64,
Norway,NOR,EUR,HIC,2025,3,15_64,
Norway,NOR,EUR,HIC,2025,1,65+,
Norway,NOR,EUR,HIC,2025,2,65+,
Norway,NOR,EUR,HIC,2025,3,65+,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,1,65+,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,2,65+,
Norway,NOR,EUR,HIC,2025,2,0_4,
Oman,OMN,EMR,HIC,2025,3,5_14,
Oman,OMN,EMR,HIC,2025,1,65+,
Oman,OMN,EMR,HIC,2025,2,65+,
Palau,PLW,WPR,HIC,2025,2,0_4,
Palau,PLW,WPR,HIC,2025,2,5_14,
Palau,PLW,WPR,HIC,2025,3,0_4,
Palau,PLW,WPR,HIC,2025,3,5_14,
Belgium,BEL,EUR,HIC,2025,3,5_14,
Belgium,BEL,EUR,HIC,2025,3,15_64,
Belgium,BEL,EUR,HIC,2025,2,5_14,
Palau,PLW,WPR,HIC,2025,1,5_14,
Belgium,BEL,EUR,HIC,2025,2,15_64,
Belgium,BEL,EUR,HIC,2025,1,15_64,
