Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,33831764,39068979,40000412,40578842,41454761,..
"Population, total",SP.POP.TOTL,Albania,ALB,2880703,2837849,2811666,2777689,2745972,..
"Population, total",SP.POP.TOTL,Algeria,DZA,40019529,44042091,44761099,45477389,46164219,..
"Population, total",SP.POP.TOTL,American Samoa,ASM,52878,49761,49225,48342,47521,..
"Population, total",SP.POP.TOTL,Andorra,AND,72174,77380,78364,79705,80856,..
"Population, total",SP.POP.TOTL,Angola,AGO,28157798,33451132,34532429,35635029,36749906,..
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,89409,91846,92349,92840,93316,..
"Population, total",SP.POP.TOTL,Argentina,ARG,43477012,45191965,45312281,45407904,45538401,..
"Population, total",SP.POP.TOTL,Armenia,ARM,3004600,2961500,2962300,2969200,2990900,..
"Population, total",SP.POP.TOTL,Aruba,ABW,107906,108587,107700,107310,107359,..
"Population, total",SP.POP.TOTL,Australia,AUS,23815995,25649248,25685412,26014399,26658948,..
"Population, total",SP.POP.TOTL,Austria,AUT,8642699,8916864,8955797,9041851,9131761,..
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9649341,10093121,10137750,10141756,10153958,..
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,385346,395863,396373,397538,399440,..
"Population, total",SP.POP.TOTL,Bahrain,BHR,1370322,1472204,1504365,1524693,1577059,..
"Population, total",SP.POP.TOTL,Bangladesh,BGD,159383179,166298024,167658854,169384897,171466990,..
"Population, total",SP.POP.TOTL,Barbados,BRB,278990,281698,282147,282318,282336,..
"Population, total",SP.POP.TOTL,Belarus,BLR,9461076,9379952,9302585,9228071,9178298,..
"Population, total",SP.POP.TOTL,Belgium,BEL,11274196,11538604,11586195,11680210,11787423,..
"Population, total",SP.POP.TOTL,Belize,BLZ,356333,390812,395346,402733,411106,..
"Population, total",SP.POP.TOTL,Benin,BEN,11360681,13070169,13413417,13759501,14111034,..
"Population, total",SP.POP.TOTL,Bermuda,BMU,63464,64382,64648,64749,64698,..
"Population, total",SP.POP.TOTL,Bhutan,BTN,740618,770006,775442,780914,786385,..
"Population, total",SP.POP.TOTL,Bolivia,BOL,11014705,11816299,11937360,12077154,12244159,..
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3518541,3299349,3244907,3204802,3185073,..
"Population, total",SP.POP.TOTL,Botswana,BWA,2203273,2365894,2401441,2439892,2480244,..
"Population, total",SP.POP.TOTL,Brazil,BRA,201675532,208660842,209550294,210306415,211140729,..
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,34498,37135,37809,38319,38985,..
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,422212,447404,451721,455370,458949,..
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7177991,6934015,6877743,6643324,6446596,..
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,18777487,21478690,21995243,22509038,23025776,..
"Population, total",SP.POP.TOTL,Burundi,BDI,11047580,12617036,12965481,13321097,13689450,..
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,512394,514679,516649,519741,522331,..
"Population, total",SP.POP.TOTL,Cambodia,KHM,15623251,16725474,16974305,17201724,17423880,..
"Population, total",SP.POP.TOTL,Cameroon,CMR,22763414,26210558,26915758,27632771,28372687,..
"Population, total",SP.POP.TOTL,Canada,CAN,35704498,38028638,38239864,38939056,40097761,..
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,61642,68684,70108,71591,73038,..
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4629320,5026628,5112100,5098039,5152421,..
"Population, total",SP.POP.TOTL,Chad,TCD,14647621,17224679,17828273,18455316,19319064,..
"Population, total",SP.POP.TOTL,Channel Islands,CHI,163454,166235,166741,167215,167691,..
"Population, total",SP.POP.TOTL,Chile,CHL,18047625,19370624,19456334,19553036,19658835,..
"Population, total",SP.POP.TOTL,China,CHN,1379860000,1411100000,1412360000,1412175000,1410710000,..
"Population, total",SP.POP.TOTL,Colombia,COL,46969940,50629997,51188173,51737944,52321152,..
"Population, total",SP.POP.TOTL,Comoros,COM,726682,802163,818174,834188,850387,..
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,81035531,95989998,99148932,102396968,105789731,..
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5097581,5752791,5892183,6035104,6182885,..
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4818038,5034320,5059988,5081765,5105525,..
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,25246342,28915449,29639736,30395002,31165654,..
"Population, total",SP.POP.TOTL,Croatia,HRV,4151725,3914206,3878981,3855641,3859686,..
"Population, total",SP.POP.TOTL,Cuba,CUB,11275065,11176354,11122168,11059820,11019931,..
"Population, total",SP.POP.TOTL,Curacao,CUW,157980,154947,152369,149996,147862,..
"Population, total",SP.POP.TOTL,Cyprus,CYP,1219502,1302247,1317309,1331370,1344976,..
